2026-04-13 18:36:10 | INFO     | dialog_bot:13 | Запуск бота
2026-04-13 18:36:10 | INFO     | dialog_bot:11 | Инициализация ДБ
2026-04-13 18:41:05 | INFO     | dialog_bot:13 | Запуск бота
2026-04-13 18:41:05 | INFO     | dialog_bot:13 | Инициализация ДБ
2026-04-13 18:43:07 | INFO     | dialog_bot:13 | Запуск бота
2026-04-13 18:43:07 | INFO     | dialog_bot:17 | Инициализация базы данных...
2026-04-13 18:43:08 | INFO     | dialog_bot:86 | База данных готова.
2026-04-13 18:43:08 | INFO     | dialog_bot:27 | Бот успешно запущен и слушает
2026-04-13 18:46:55 | INFO     | dialog_bot:33 | Бот остановлен
2026-04-13 19:43:06 | INFO     | dialog_bot:13 | Запуск бота
2026-04-13 19:43:06 | INFO     | dialog_bot:17 | Инициализация базы данных...
2026-04-13 19:43:06 | INFO     | dialog_bot:86 | База данных готова.
2026-04-13 19:43:06 | INFO     | dialog_bot:27 | Бот успешно запущен и слушает
2026-04-13 19:44:21 | INFO     | dialog_bot:33 | Бот остановлен
2026-04-13 19:48:55 | INFO     | dialog_bot:13 | Запуск бота
2026-04-13 19:48:55 | INFO     | dialog_bot:17 | Инициализация базы данных...
2026-04-13 19:48:55 | INFO     | dialog_bot:86 | База данных готова.
2026-04-13 19:48:55 | INFO     | dialog_bot:27 | Бот успешно запущен и слушает
